url,rank,company,revenues,revenue_pct_change,profits,profits_pct_change,assets,market_val,rank_change_1000,employees,rank_change_500,sector,industry,hq,website,years_on_fortune500,costs,revenue_pct,cost_pct
https://fortune.com/fortune500/2019/walmart/,1,Walmart,514405.0,2.8,6670.0,-32.4,219295.0,279880.3,0,2200000,0,Retailing,General Merchandisers,"Bentonville, Ark.",http://www.walmart.com,25,507735.0,0.5032627624395876,0.4967372375604125
https://fortune.com/fortune500/2019/exxon-mobil/,2,Exxon Mobil,290212.0,18.8,20840.0,5.7,346196.0,342172.0,0,71000,0,Energy,Petroleum Refining,"Irving, Texas",http://www.exxonmobil.com,65,269372.0,0.5186209755818608,0.4813790244181392
https://fortune.com/fortune500/2019/apple/,3,Apple,265595.0,15.9,59531.0,23.1,365725.0,895667.4,1,132000,1,Technology,"Computers, Office Equipment","Cupertino, Calif.",http://www.apple.com,37,206064.0,0.5631080929230652,0.4368919070769348
https://fortune.com/fortune500/2019/berkshire-hathaway/,4,Berkshire Hathaway,247837.0,2.4,4021.0,-91.1,707794.0,493870.3,1,389000,1,Financials,Insurance: Property and Casualty (Stock),"Omaha, Neb.",http://www.berkshirehathaway.com,35,243816.0,0.5040892662101116,0.49591073378988837
https://fortune.com/fortune500/2019/amazon-com/,5,Amazon.com,232887.0,30.9,10073.0,232.1,162648.0,874709.5,3,647500,3,Retailing,Internet Services and Retailing,"Seattle, Wash.",http://www.amazon.com,18,222814.0,0.5110522030893063,0.4889477969106936
https://fortune.com/fortune500/2019/unitedhealth-group/,6,UnitedHealth Group,226247.0,12.5,11986.0,13.5,152221.0,237255.5,1,300000,1,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, Minn.",http://www.unitedhealthgroup.com,25,214261.0,0.5136047472463611,0.486395252753639
https://fortune.com/fortune500/2019/mckesson/,7,McKesson,208357.0,4.9,67.0,-98.7,60381.0,22455.1,1,68000,1,Health Care,Wholesalers: Health Care,"Irving, Texas",http://www.mckesson.com,25,208290.0,0.5000804037950591,0.49991959620494086
https://fortune.com/fortune500/2019/cvs-health/,8,CVS Health,194579.0,5.3,-594.0,-109.0,196456.0,69951.6,1,295000,1,Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, R.I.",http://www.cvshealth.com,26,195173.0,0.49923797696997063,0.5007620230300294
https://fortune.com/fortune500/2019/att/,9,AT&T,170756.0,6.4,19370.0,-34.2,531864.0,228444.7,0,268220,0,Telecommunications,Telecommunications,"Dallas, Texas",http://www.att.com,25,151386.0,0.5300643815460263,0.4699356184539737
https://fortune.com/fortune500/2019/amerisourcebergen/,10,AmerisourceBergen,167939.6,9.7,1658.4,355.0,37669.8,16785.9,2,20500,2,Health Care,Wholesalers: Health Care,"Chesterbrook, Pa.",http://www.amerisourcebergen.com,25,166281.2,0.502480994599977,0.4975190054000229
